id_films,names_films,types_film,rating_films,years_films,links_films
3599,Расплата ,"вестерн, детектив",0,2022 ,https://baskino.org/films/15867-rasplata.html
3600,Страховая компания ,"комедия, криминал, триллер, ужасы",0,2022 ,https://baskino.org/films/15866-strahovaja-kompanija.html
3601,Затаив дыхание: погружение под лёд ,"документальный, короткометражка, спорт",0,2022 ,https://baskino.org/films/15860-zataiv-dyhanie-pogruzhenie-pod-led.html
3602,Первый Оскар ,"военный, драма, история",40,2022 ,https://baskino.org/films/15856-pervyj-oskar.html
3603,Пёс. Апокалипсис ,боевик,0,2022 ,https://baskino.org/films/15850-pes-apokalipsis.html
3604,Мой телефон ,драма,0,2022 ,https://baskino.org/films/15849-moj-telefon.html
3605,Фантастические твари: Тайны Дамблдора ,"приключения, семейный, фэнтези",50,2022 ,https://baskino.org/films/13223-fantasticheskie-tvari-tajny-dambldora.html
3606, Четыре хороших дня ,драма,0,2020 ,https://baskino.org/films/1443-chetyre-horoshih-dnja.html
3607,Деревья мира ,драма,0,2021 ,https://baskino.org/films/14415-derevja-mira.html
3608, Захар Беркут ,"боевик, драма, история",0,2019 ,https://baskino.org/films/7510-zahar-berkut.html
3609,Время умирать ,"боевик, криминал",0,2022 ,https://baskino.org/films/12039-vremja-umirat.html
3610,Звезда и Глупец ,"комедия, мелодрама",0,2018 ,https://baskino.org/films/15835-zvezda-i-glupec.html
3611,Таинство ,"боевик, драма, криминал, триллер",0,2018 ,https://baskino.org/films/15834-tainstvo.html
3612,Светлячков больше нет ,драма,0,2018 ,https://baskino.org/films/15833-svetljachkov-bolshe-net.html
3613,Сократ ,драма,0,2018 ,https://baskino.org/films/15832-sokrat.html
3614,Связанные по жизни ,драма,0,2018 ,https://baskino.org/films/15831-svjazannye-po-zhizni.html
3615,Восход Эдерлези ,"драма, мелодрама, фантастика",10,2018 ,https://baskino.org/films/15829-voshod-jederlezi.html
3616,Год чумы ,"комедия, приключения, фэнтези",0,2018 ,https://baskino.org/films/15826-god-chumy.html
3617,Рождественская деревенька ,"драма, комедия",0,2018 ,https://baskino.org/films/15825-rozhdestvenskaja-derevenka.html
3618,Останемся друзьями ,комедия,0,2018 ,https://baskino.org/films/15822-ostanemsja-druzjami.html
3619,Наше время ,драма,0,2018 ,https://baskino.org/films/15820-nashe-vremja.html
3620,"Девушка, которая застряла в паутине ","боевик, драма, криминал, триллер",0,2018 ,https://baskino.org/films/15813-devushka-kotoraja-zastrjala-v-pautine.html
3621,Посредник ,драма,0,2021 ,https://baskino.org/films/9029-posrednik.html
3622,Скин ,"биография, драма, криминал, мелодрама",0,2018 ,https://baskino.org/films/15810-skin.html
3623,В Плэйнвью ,"криминал, триллер",0,2018 ,https://baskino.org/films/15808-v-pljejnvju.html
3624,Мальчик русский ,"военный, драма, история",10,2018 ,https://baskino.org/films/15797-malchik-russkij.html
3625,Ничего себе каникулы! ,комедия,0,2018 ,https://baskino.org/films/15795-nichego-sebe-kanikuly.html
3626,Братаны. Последний скотч ,комедия,0,2018 ,https://baskino.org/films/15794-bratany-poslednij-skotch.html
3627,На Париж ,"история, приключения",0,2018 ,https://baskino.org/films/15790-na-parizh.html
3628,Арестант no name ,"драма, триллер",10,2018 ,https://baskino.org/films/15789-arestant-no-name.html
3629,Они никогда не станут старше ,"военный, документальный, история",0,2018 ,https://baskino.org/films/15788-oni-nikogda-ne-stanut-starshe.html
3630,Невеста в аренду ,"комедия, мелодрама",0,2018 ,https://baskino.org/films/15787-nevesta-v-arendu.html
3631,Леди в чёрном ,"драма, комедия, мелодрама",0,2018 ,https://baskino.org/films/15786-ledi-v-chernom.html
3632,Водяная ,фэнтези,0,2018 ,https://baskino.org/films/15785-vodjanaja.html
3633,Пацанская симфония ,"драма, криминал, музыка",0,2018 ,https://baskino.org/films/15783-pacanskaja-simfonija.html
3634,Папина дочка ,"криминал, триллер, ужасы",0,2018 ,https://baskino.org/films/15782-papina-dochka.html
3635,Это любовь ,"драма, комедия",0,2018 ,https://baskino.org/films/15780-jeto-ljubov.html
3636,Письма Асперна ,драма,0,2018 ,https://baskino.org/films/15779-pisma-asperna.html
3637,Звонок мертвецу ,"детектив, криминал, триллер",100,2018 ,https://baskino.org/films/15778-zvonok-mertvecu.html
3638,Дышите нормально ,драма,0,2018 ,https://baskino.org/films/15777-dyshite-normalno.html
3639,Песня нашей деревни ,"комедия, семейный",0,2018 ,https://baskino.org/films/15775-pesnja-nashej-derevni.html
3640,"Те, что работают ",драма,0,2018 ,https://baskino.org/films/15774-te-chto-rabotajut.html
3641,Собачьи дни ,"драма, комедия, мелодрама",0,2018 ,https://baskino.org/films/15773-sobachi-dni.html
3642,Бедный Жорж! ,драма,0,2018 ,https://baskino.org/films/15771-bednyj-zhorzh.html
3643,За облаками ,драма,0,2018 ,https://baskino.org/films/15770-za-oblakami.html
3644,Щелкунчик и четыре королевства ,"приключения, семейный, фэнтези",60,2018 ,https://baskino.org/films/15765-schelkunchik-i-chetyre-korolevstva.html
3645,Любители ,"драма, комедия",0,2018 ,https://baskino.org/films/15758-ljubiteli.html
3646,В поисках &quot;долго и счастливо&quot; ,драма,0,2018 ,https://baskino.org/films/15753-v-poiskah-quotdolgo-i-schastlivoquot.html
3647,Противостояние в Спэрроу-Крик ,"драма, криминал, триллер",0,2018 ,https://baskino.org/films/15751-protivostojanie-v-spjerrou-krik.html
3648,Случайные друзья ,"драма, комедия",0,2018 ,https://baskino.org/films/15749-sluchajnye-druzja.html
3649,Зов мечты ,"детектив, драма, криминал, триллер",0,2018 ,https://baskino.org/films/15743-zov-mechty.html
3650,Ронни Коулмэн: Король ,документальный,0,2018 ,https://baskino.org/films/15742-ronni-koulmjen-korol.html
3651,Ковбой и Индиана ,драма,0,2018 ,https://baskino.org/films/15740-kovboj-i-indiana.html
3652,День выборов по-французски ,комедия,10,2018 ,https://baskino.org/films/15739-den-vyborov-po-francuzski.html
3653,Радиевые девушки ,"драма, история",0,2018 ,https://baskino.org/films/15738-radievye-devushki.html
3654,Где соприкасаются руки ,"военный, драма, мелодрама",0,2018 ,https://baskino.org/films/15732-gde-soprikasajutsja-ruki.html
3655,Нож в сердце ,"детектив, криминал, мелодрама, триллер",0,2018 ,https://baskino.org/films/15731-nozh-v-serdce.html
