id_meals,meals_names,calories,proteins,fats,carbohydrates
118,"Печенье, затяжное из муки высшего сорта",414.0,8.5,11.3,69.7
119,"Печенье, затяжное из муки первого сорта",396.0,7.7,9.1,70.9
120,"Печенье, овсяное, охлажденное тесто",424.0,5.4,18.9,56.6
121,"Печенье, овсяное, охлажденное тесто, испеченное",471.0,6.0,21.0,62.9
122,"Печенье, овсяное, с изюмом",441.0,5.86,15.76,65.65
123,"Печенье, овсяное, сухая смесь",462.0,6.5,19.2,67.3
124,"Печенье, с пониженным содержанием сахара",493.0,8.3,23.6,61.2
125,"Печенье, сахарное из муки высшего сорта",417.0,7.5,9.8,74.4
126,"Печенье, сахарное, охлажденное тесто, испеченное",489.0,4.7,23.1,64.7
127,"Печенье, сахарные вафли с кремовой начинкой, обычные",502.0,3.84,23.24,69.04
128,"Печенье, сдобное миндальное",422.0,7.6,13.6,67.4
129,"Печенье, шоколадное, приготовленное по рецепту",466.0,6.2,29.1,50.2
130,"Печенье, шоколадное, промышленного изготовления",405.0,4.8,16.3,61.8
131,"Печенье, шоколадное, сухая смесь, диетическая",426.0,2.9,12.5,76.2
132,"Печенье, шоколадное, сухая смесь, стандартная",434.0,4.0,14.9,76.6
133,"Печенье, шоколадные кусочки, промышленного изготовления, мягкое",444.0,3.63,19.77,63.95
134,"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, необогащенное",481.0,5.4,22.6,64.3
135,"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, обогащенное",492.0,5.1,24.72,63.36
136,"Печенье, шоколадные кусочки, промышленного изготовления, станд., с пониженным содержанием жира",451.0,5.97,17.91,64.49
137,Пирожное бисквитное с белковым кремом,336.0,4.4,7.3,63.1
138,Пирожное вафельное молочное,572.0,4.8,36.7,55.3
139,Пирожное воздушное с кремом,440.0,2.6,20.8,60.5
140,Пирожное заварное с кремом (трубочка),433.0,4.4,24.5,48.8
141,Пирожное крошковое,388.0,5.9,19.4,47.5
142,Пирожное миндальное,433.0,8.5,16.2,63.2
143,Пирожное песочное с кремом,485.0,5.1,28.2,52.1
144,Пирожное песочное с фруктовой начинкой,435.0,5.1,18.5,62.6
145,Пирожное слоеное с белковым кремом,461.0,6.1,26.0,50.6
146,"Пирожное, белково-сбивное",468.0,2.8,24.3,62.6
147,"Пирожное, бисквитное, с фруктовой начинкой",351.0,4.7,9.3,64.2
148,"Пирожное, слоеное с кремом",555.0,5.4,38.6,46.4
149,"Пирожное, слоеное с яблочной начинкой",466.0,5.7,25.6,52.7
150,Плитки кондитерские,537.0,7.8,34.6,48.1
151,Плитки кондитерские сладкие,552.0,6.2,34.2,54.5
152,Пралине с ржаной мукой,567.0,4.7,37.7,52.0
153,"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)",535.0,9.9,32.2,51.2
154,Пряники заварные,366.0,5.9,4.7,75.0
155,Пряники сырцовые,346.0,6.3,2.1,75.6
156,"Пудинг из тапиоки, приготовленный на цельном молоке",115.0,2.84,2.89,19.43
157,"Пудинг, банановый, быстрого приготовления, приготовленный на цельном молоке",115.0,2.62,2.8,19.76
158,"Пудинг, банановый, обычный, приготовленный на цельном молоке",111.0,2.74,2.89,18.44
